character,degree,weighted_degree,betweenness,closeness,pagerank,eigenvector,community
"""Blow the Horn"" Kid",0.04854368932038834,0.08771929824561403,0.012425892687171957,0.21560241221504642,0.00949997600406262,0.02094516041436348,14
"""Where the Redfern Grows"" 5th grader",0.04854368932038834,0.10526315789473684,0.005040543725580849,0.2375812988971628,0.009456882444916546,0.07202538840154138,14
Aaron Aaronson,0.009708737864077669,0.017543859649122806,0.0,0.009708737864077669,0.012738853503182788,4.790363810056979e-19,0
Abraham Lincoln,0.009708737864077669,0.017543859649122806,0.0,0.18823749066467513,0.0033591727496293943,0.005436118569113535,19
Adam,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,1
Adlai Stevenson,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,2
Adrian Belew,0.10679611650485436,0.49122807017543857,0.04773338137844133,0.26032844453625287,0.041934115732657054,0.3760699214937091,4
African-American Teacher,0.029126213592233007,0.05263157894736842,0.005921106306600311,0.2297734627831715,0.005765512784489548,0.0403253486081457,4
Airshot,0.019417475728155338,0.03508771929824561,0.00047954456863651606,0.2137194217153517,0.0048059979989676935,0.01398565059611182,19
Akira Kurosawa,0.029126213592233007,0.07017543859649122,0.0,0.22246248896734336,0.007491336267194472,0.05439460333206025,34
Al Gore,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,3
Al Sneed,0.009708737864077669,0.017543859649122806,0.0,0.16368477449102187,0.0038928892909966513,0.0015474677130966794,4
Alcatraaz,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,5
Alec Baldwin,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,6
Alf,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,7
Alfred Hitchcock,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,34
Alphonse,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,34
Amber Duffman,0.009708737864077669,0.03508771929824561,0.0,0.1553706272152874,0.0048044785241590565,0.01709906405399657,19
Amphibian Man,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,34
Andy Griffith,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,8
Angelica D'Amico,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,9
Angelo,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,10
Anger Watkins,0.04854368932038834,0.08771929824561403,0.012274079485672855,0.2703963954299201,0.00955036624418851,0.03387327577865196,19
Angry Mob,0.04854368932038834,0.08771929824561403,0.025066841486030517,0.2703963954299201,0.008718216866962305,0.03847741406085783,14
Angstrom Charles,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,11
Anita,0.029126213592233007,0.07017543859649122,0.0,0.2030777907585707,0.006879339293941986,0.02616744200190406,14
Annette,0.04854368932038834,0.10526315789473684,0.01684278055637279,0.27495363804952544,0.01063607864624601,0.056225732035859996,19
Annie Dubinsky,0.019417475728155338,0.03508771929824561,0.0,0.17416992018795566,0.007000709268513577,0.0006806192988216534,12
Apu Nahasapeemapetilon Sr.,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,34
Apu's Dog,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,13
Archie,0.009708737864077669,0.017543859649122806,0.0,0.009708737864077669,0.012738853503182788,4.790363810056979e-19,0
Architect,0.019417475728155338,0.03508771929824561,0.01749204536183405,0.2286997550131567,0.005300651216055081,0.017273595014029634,34
Art teacher,0.04854368932038834,0.12280701754385964,0.0002728599530427058,0.20392394822006474,0.010477730930454393,0.09155203349690844,4
Ashley,0.06796116504854369,0.14035087719298245,0.018183064635092047,0.24228587907334423,0.014102442411256574,0.0661224024577038,25
Auction Announcer,0.019417475728155338,0.03508771929824561,0.0,0.16152391938222949,0.0066347436732824535,0.002273936199394561,34
