character,degree_full,weighted_degree_full,betweenness_full,closeness_full,pagerank_full,eigenvector_full,degree_no_central,weighted_degree_no_central,betweenness_no_central,closeness_no_central,pagerank_no_central,eigenvector_no_central,degree_rank_full,degree_rank_no_central,degree_rank_change,betweenness_rank_full,betweenness_rank_no_central,betweenness_rank_change,pagerank_rank_full,pagerank_rank_no_central,pagerank_rank_change,eigenvector_rank_full,eigenvector_rank_no_central,eigenvector_rank_change
"""Blow the Horn"" Kid",0.04854368932038834,0.08771929824561403,0.012425892687171957,0.21560241221504642,0.00949997600406262,0.02094516041436348,0.049019607843137254,0.1111111111111111,0.037557432213809604,0.19508231099926604,0.011593848365089771,0.03323005618315553,15.0,13.0,2.0,28.0,9.0,19.0,28.0,25.0,3.0,34.0,22.0,12.0
"""Where the Redfern Grows"" 5th grader",0.04854368932038834,0.10526315789473684,0.005040543725580849,0.2375812988971628,0.009456882444916546,0.07202538840154138,0.049019607843137254,0.13333333333333333,0.009371273261779962,0.20610391049074997,0.01111344865298778,0.09358057074074061,15.0,13.0,2.0,33.0,24.0,9.0,29.0,27.0,2.0,14.0,11.0,3.0
Aaron Aaronson,0.009708737864077669,0.017543859649122806,0.0,0.009708737864077669,0.012738853503182788,4.790363810056979e-19,0.00980392156862745,0.022222222222222223,0.0,0.00980392156862745,0.013812154696132594,4.710890350053316e-17,53.0,51.0,2.0,44.0,40.0,4.0,19.0,18.0,1.0,73.0,66.0,7.0
Abraham Lincoln,0.009708737864077669,0.017543859649122806,0.0,0.18823749066467513,0.0033591727496293943,0.005436118569113535,0.00980392156862745,0.022222222222222223,0.0,0.16506964776860972,0.003895216264988087,0.003591684911356969,53.0,51.0,2.0,44.0,40.0,4.0,71.0,65.0,6.0,56.0,46.0,10.0
Adam,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Adlai Stevenson,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Adrian Belew,0.10679611650485436,0.49122807017543857,0.04773338137844133,0.26032844453625287,0.041934115732657054,0.3760699214937091,0.09803921568627451,0.5111111111111111,0.04259875567388672,0.22109328579916815,0.041915304039728055,0.3582483975854151,7.0,6.0,1.0,6.0,8.0,-2.0,5.0,5.0,0.0,3.0,4.0,-1.0
African-American Teacher,0.029126213592233007,0.05263157894736842,0.005921106306600311,0.2297734627831715,0.005765512784489548,0.0403253486081457,0.029411764705882353,0.06666666666666667,0.00995992456388496,0.2108693188257962,0.00701644752038407,0.04316125000023581,29.0,26.0,3.0,32.0,23.0,9.0,51.0,47.0,4.0,23.0,18.0,5.0
Airshot,0.019417475728155338,0.03508771929824561,0.00047954456863651606,0.2137194217153517,0.0048059979989676935,0.01398565059611182,0.0196078431372549,0.044444444444444446,0.0004890405006887244,0.19200206398348812,0.005718438296841198,0.009093345901408999,45.0,37.0,8.0,42.0,35.0,7.0,59.0,54.0,5.0,51.0,37.0,14.0
Akira Kurosawa,0.029126213592233007,0.07017543859649122,0.0,0.22246248896734336,0.007491336267194472,0.05439460333206025,0.0196078431372549,0.044444444444444446,0.0,0.18331855355207408,0.0053358582844218174,0.027384764120497927,29.0,37.0,-8.0,44.0,40.0,4.0,38.0,57.0,-19.0,17.0,27.0,-10.0
Al Gore,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Al Sneed,0.009708737864077669,0.017543859649122806,0.0,0.16368477449102187,0.0038928892909966513,0.0015474677130966794,0.00980392156862745,0.022222222222222223,0.0,0.14650759902354515,0.004342914840304817,0.0020764413635583527,53.0,51.0,2.0,44.0,40.0,4.0,63.0,63.0,0.0,61.0,47.0,14.0
Alcatraaz,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Alec Baldwin,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Alf,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Alfred Hitchcock,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,53.0,68.0,-15.0,44.0,40.0,4.0,65.0,68.0,-3.0,44.0,68.0,-24.0
Alphonse,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,53.0,68.0,-15.0,44.0,40.0,4.0,65.0,68.0,-3.0,44.0,68.0,-24.0
Amber Duffman,0.009708737864077669,0.03508771929824561,0.0,0.1553706272152874,0.0048044785241590565,0.01709906405399657,0.00980392156862745,0.044444444444444446,0.0,0.13362781009839833,0.0057182672681261116,0.011003321980104059,53.0,51.0,2.0,44.0,40.0,4.0,60.0,55.0,5.0,40.0,34.0,6.0
Amphibian Man,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,53.0,68.0,-15.0,44.0,40.0,4.0,65.0,68.0,-3.0,44.0,68.0,-24.0
